"Provincia","Canton","SquareMetersConstruction","SquareMetersTerrain","Price"
"San José","San José",83,0,186500
"San José","San José",94,94,175450
"San José","San José",55,70,135000
"Guanacaste","Carrillo",140,922,148200
"San José","Montes de Oca",120,200,115000
"Heredia","Heredia",77,77,90250
"San José","Montes de Oca",80,1200,120000
"San José","Goicoechea",320,230,275000
"Puntarenas","Garabito",0,0,62000
"San José","Escazú",356,0,325000
"San José","San José",82,0,199000
"Alajuela","Alajuela",86,0,97000
"San José","Escazú",91,0,119900
"San José","Escazú",100,100,140000
"San José","Curridabat",79.44,0,124500
"San José","Curridabat",95.42,0,158500
"San José","Curridabat",79.44,0,124500
"San José","San José",65,0,125000
"Alajuela","Alajuela",150,150,114000
"San José","San José",56,56,75000
"San José","San José",0,0,125000
"San José","San José",94,94,116000
"San José","San José",134,134,170000
"Puntarenas","Garabito",110,135,249500
"San José","San José",0,0,185000
"Heredia","Heredia",60,0,117000
"San José","San José",55,70,105000
"San José","San José",115,115,88600
"San José","San José",0,1200,360000
"San José","Santa Ana",130,130,220000
"San José","San José",401.4,0,1050000
"Cartago","Cartago",0,120,75000
"San José","San José",96,80,139000
"San José","San José",0,0,140000
"San José","Desamparados",68,0,115000
"Heredia","San Pablo",170,210,136800
"San José","Moravia",42,1000,72000
"San José","San José",500,500,1500
"San José","Escazú",105,105,165000
"San José","Escazú",575,575,201300
"Alajuela","Alajuela",95,95,125000
"San José","San José",96,0,142500
"San José","San José",96,0,139000
"Alajuela","Alajuela",66,0,105000
"Alajuela","Alajuela",66,0,105000
"San José","San José",300,0,1500
"Heredia","San Rafael",300,296,180000
"Heredia","Heredia",500,200,NA
"Heredia","Heredia",77,77,94050
"Heredia","Heredia",67,67,90250
"Guanacaste","Carrillo",66,72,62280.252
"San José","Curridabat",60,60,66000
"San José","Curridabat",60,60,75000
"Guanacaste","Carrillo",1632,701,729210.899
"San José","Santa Ana",70,0,165000
"San José","Santa Ana",77,0,130000
"Heredia","Belén",500,350,550000
"San José","San José",120,90,140000
"San José","Desamparados",80,80,112000
"Heredia","Belén",0,0,160000
"San José","San José",0,0,2e+05
"San José","Escazú",167,0,295000
"Alajuela","Alajuela",92,122,135000
"Heredia","San Pablo",160,210,144400
"San José","Santa Ana",90,9,158500
"Alajuela","Alajuela",610,675,6e+05
"San José","San José",70,85,219000
"Heredia","Heredia",160,160,235000
"San José","Santa Ana",93,0,111000
"San José","San José",105,0,190000
"Heredia","San Rafael",103,131,2e+05
"San José","Vásquez de Coronado",120,0,126000
"San José","San José",500,663,350000
"San José","Montes de Oca",0,0,125000
"San José","San José",70,70,92000
"Alajuela","Alajuela",50,50,60800
"Heredia","Barva",270,200,256500
"San José","Santa Ana",100,10300,2500000
"San José","Escazú",91,0,119900
"San José","Escazú",135,0,237000
"San José","Escazú",220,0,340000
"San José","Escazú",169,0,370000
"Alajuela","Alajuela",94,94,108000
"Cartago","La Unión",80,80,117000
"Heredia","Santo Domingo",70,0,522.5
"San José","Escazú",309,0,350000
"San José","Curridabat",0,0,180000
"San José","Curridabat",98,98,113000
"San José","Vásquez de Coronado",0,0,380
"San José","Desamparados",54,54,51300
"San José","Santa Ana",112,112,158000
"San José","Santa Ana",65,0,125000
"Alajuela","Alajuela",87,88,106400
"San José","Escazú",100,100,1e+05
"San José","Montes de Oca",86,70,130000
"San José","Escazú",46,0,130000
"San José","Curridabat",97,97,185000
"San José","San José",170,0,499000
"San José","Escazú",84,0,135000
"San José","Escazú",90,0,140000
"San José","San José",90,0,170000
"Heredia","San Pablo",77,0,117000
"Cartago","La Unión",115,0,145000
"Heredia","Barva",450,320,375000
"San José","Santa Ana",0,118,185000
"San José","Escazú",91,0,119900
"San José","San José",88,0,135000
"San José","Curridabat",270,0,199500
"Heredia","Barva",220,180,228000
"San José","San José",0,0,135000
"San José","Escazú",136,136,250000
"San José","Alajuelita",180,117,94050
"Heredia","Santa Bárbara",0,0,180500
"Heredia","San Pablo",0,0,120000
"San José","San José",0,0,450000
"San José","San José",92,0,138
"San José","Curridabat",126,160,135000
"Heredia","Heredia",0,0,NA
"Heredia","Heredia",0,0,112000
"Heredia","Heredia",500,200,NA
"San José","Escazú",91,0,119900
"San José","Montes de Oca",75,54,79800
"San José","Escazú",140,0,237000
"San José","San José",90,0,700
"San José","Desamparados",46,0,60800
"San José","Escazú",120,100,110000
"Heredia","Heredia",78,0,82000
"San José","San José",101,108,225000
"San José","Montes de Oca",540,296,247000
"San José","Escazú",280,280,475000
"San José","San José",0,0,165000
"San José","Curridabat",100,0,205000
"San José","Montes de Oca",117,130,120000
"San José","Desamparados",0,0,85500
"Alajuela","Alajuela",89,117,115000
"Alajuela","Alajuela",89,117,115000
"Alajuela","Alajuela",89,117,115000
"San José","Santa Ana",60,80,130000
"San José","Escazú",91,0,119900
"Heredia","Heredia",105,0,108300
"San José","Moravia",575,1007,304000
"San José","Montes de Oca",120,0,185000
"San José","Montes de Oca",70,0,125000
"Puntarenas","Garabito",500,745,350000
"Heredia","Belén",60,0,110000
"Heredia","Belén",75,115,145000
"San José","Escazú",0,80,168000
"San José","San José",97,0,165000
"Heredia","San Rafael",300,296,180000
"Guanacaste","Nicoya",109,109,150100
"San José","Escazú",91,0,119900
"San José","San José",160,0,180000
"San José","Montes de Oca",220,360,259000
"San José","Escazú",201,0,280000
"San José","Santa Ana",0,0,150000
"Heredia","Heredia",0,0,112000
"Heredia","Belén",0,0,2e+05
"Heredia","Heredia",43.75,0,113000
"Heredia","Heredia",43.75,0,113000
"San José","Escazú",180,0,295000
"Guanacaste","Santa Cruz",0,0,269000
"San José","Escazú",200,0,280000
"San José","San José",126,0,289000
"San José","San José",310,310,360000
"San José","San José",0,95,165000
"Heredia","Barva",220,180,228000
"San José","Escazú",284,0,258000
"San José","San José",194,0,3e+05
"San José","Curridabat",0,0,115000
"San José","Curridabat",0,0,115000
"San José","Montes de Oca",0,0,140000
"San José","Curridabat",0,0,1e+05
"San José","San José",115,94,91200
